File,Status,Time
C:/Users/sonak/Downloads/download.webp,STORED,0.0009
C:/Users/sonak/Downloads/CEEMDAN_CNN_LSTM_SVM_Imputed_WindSpeed.xlsx,STORED,0.0684
C:/Users/sonak/Downloads/Sonakshi_Puri_Resume_Regulatory_Intern.pdf,SAFE,0.0005
C:/Users/sonak/Downloads/Gemini_Generated_Image_5c3eq45c3eq45c3e.png,STORED,0.0133
